TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,is the main graphical user interface and window manager.
,xorg-server,is the graphical server.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,ttf-inconsolata,is the monospace font of LARBS.
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.
,ranger,is an extensive terminal file manager that everyone likes.
,arandr,is a UI for screen adjustment.
,calcurse,is a lightweight terminal-based calendar.
,xcompmgr,for transparency and removing screen-tearing.
,dosfstools,allows your computer to access dos-like filesystems.
,dunst,is a suckless notification system.
,exfat-utils,allows management of FAT drives.
,feh,is a minimal image viewer.
,ffmpeg,can record and splice video and audio on the command line.
,gnome-keyring,serves as the system keyring.
A,gtk-theme-arc-gruvbox-git,gives the dark GTK theme used in LARBS.
,gvim,provides a build of vim with the ability to copy and paste between other programs.
,i3blocks,is the status bar.
,i3lock,is the screen lock.
,mpd,is a lightweight music daemon.
,mpc,is a terminal interface for mpd.
,mpv,is the patrician's choice video/gif player.
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
,networkmanager,does exactly what it sounds like.
,newsboat,is a terminal RSS client.
,firefox,is the only program on LARBS your girlfriend has ever heard of.
A,ttf-emojione,is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere.
A,ttf-symbola,provides unicode and emoji symbols.
,ntfs-3g,allows accessing NTFS partitions.
,pulseaudio,is the audio system (>inb4 bloat).
,pulseaudio-alsa,is an audio interface with ALSA.
,pulsemixer,is an intuitive ncurses audio controller.
,imagemagick,is a terminal image-manipulator providing some ranger shortcuts and the lockscreen in LARBS.
A,sc-im,is an Excel-like terminal spreadsheet manager.
A,htop-vim-git,provides system usage information and displays processes.
,scrot,can take quick screenshots at your request.
,tmux,is a terminal multiplexer and the dropdown window in LARBS.
A,unclutter-xfixes-git,hides an inactive mouse.
,unrar,extracts rar's.
,unzip,unzips zips.
A,urlscan,parses URLs in the terminal allowing keyboard-based selection.
,w3m,is a terminal browser which can also view images.
,xcape,gives the special escape/super mappings of LARBS.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,xssstate,times out the screen if locked.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
,youtube-viewer,is a terminal interface for watching YouTube videos without a browser.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-djvu,gives zathura the ability to read .djvu files.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,poppler,manipulates .pdfs and gives .pdf previews in ranger.
,mediainfo,shows audio and video information and is used by ranger as well.
,atool,manages and gives information about archives.
,fzf,is a fuzzy finder tool.
,highlight,can highlight code output.
G,https://github.com/alexanderjeurissen/ranger_devicons.git,gives folder and file icons in ranger.
A,task-spooler,queues commands or files for download.
A,simple-mtpfs,mounts mtp drives.
G,https://github.com/lukesmithxyz/dmenu.git,runs commands and provides a UI for selection.
G,https://github.com/lukesmithxyz/st.git,is my custom build of suckless's terminal emulator.
