arandr,,gui adjustment of screen,
asciiquarium,D,terminal screensaver,
atool,r,ranger archive previews,
base-devel,,sudo and compilation software,
bash-pipes,D,terminal screensaver,
biber,X,LaTeX references,
blender,B,video modification and modelling,
calcurse,,calendar,
cli-visualizer,D,music/audio visualizer,
cmatrix,D,terminal screensaver,
compton,,transparency and removing tearing,
discount,?,,
dmenu,,command runner,
dosfstools,,file system compatibility,
emacs,E,everything,
exfat-utils,,file system compatibility,
feh,,image viewer,
ffmpeg,,audio/video recording and splicing,
figlet,D,text decoration,
fzf,r,ranger fuzzy finder,
gimp,G,image modification,
git,,dling config repos,
gnome-keyring,,system keyring,
highlight,r,ranger previews highlighted,
htop-vim-git,D,system info,
i3-gaps,,window manager,
i3blocks,,status bar,
i3lock,,screen lock,
imagemagick,D,"image conversion and modification, lock screen",
libcaca,r,,
libreoffice-fresh,L,office suite,
mediainfo,r,ranger audio/video info preview,
mpc,,music daemon control,
mpd,,music daemon,
mpv,,video/gif player,
mupdf,,pdf reader,
ncmpcpp,,music player,
ncpamixer-git,,audio system manager,
neofetch,D,system stats,
neomutt,e,email client,
network-manager-applet,,GUI wifi manager,
networkmanager,,network manager,
newsboat,,RSS reader,
notmuch,e,email system (indexing and search),
notmuch-mutt,e,email system (indexing and search),
noto-fonts,F,Near Eastern Fonts,
noto-fonts-cjk,F,East Asian fonts,
noto-fonts-emoji,,emoji fonts,
ntfs-3g,,file system compatibility,
offlineimap,e,email system (mail sync),
packer,,AUR manager,
pamixer,,audio system control,
pandoc,P,file conversion,
pandoc-citeproc,P,citations through pandoc,
poppler,r,ranger pdf previews,
projectm-pulseaudio,D,music/audio visualizer,
pulseaudio,,audio system,
pulseaudio-alsa,,audio system,
python-dbus,,,
python-gobject,,,
qutebrowser,,default browser,
r,P,statistics and calculator,
ranger,r,file manager,
rsync,,,
sc-im,,spreadsheet manager,
screenfetch,D,system stats,
screenkey,,screencasting keyboard view,
scrot,D,screenshots,
speedometer,,internet traffic view,
texlive-lang,X,LaTeX packages,
texlive-most,X,LaTeX packages,
tmux,,multiplexer and dropdown,
transmission-cli,T,torrent,
transmission-remote-cli-git,T,torrent interface,
ttf-ancient-fonts,F,rare and ancient fonts,
ttf-inconsolata,,mono font,
ttf-linux-libertine,,non-mono fonts,
unclutter-xfixes-git,,hides mouse if idle,
unrar,,extraction,
unzip,,extraction,
urlview,,url parser for terminal apps,
vim,,text editor,
vim-live-latex-preview,X,latex preview,
vim-pathogen,,vim package manager,
w3m,?,,
wget,,,
xcape,,for double mapping of escape,
xdotool,,moving windows on command,
xfce-theme-blackbird,,dark theme,
xorg-server,,graphical environment,
xorg-xdpyinfo,,screencasting,
xorg-xinit,,graphical environment,
youtube-dl,,downloads youtube videos,
youtube-viewer,,watch YT videos without browser,
